score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
43,1099,2,East Village,2.33,2026-06-10,Renovated Modern 1 bed/1 bath residence in prime East Village.,https://newyork.craigslist.org/brk/apa/d/new-york-renovated-modern-bed-bath/7940163758.html,"Beautifully renovated and ideally located, this East Village residence offers modern comfort in a classic Manhattan setting. Apartment Location: 520 E 12th St, APT 3D, New York, NY 10009 This spacious"
39,1047,1,Brooklyn,1.40,2026-06-11,372 Grand Avenue-Clinton Hill 1BR – Spacious Living,https://newyork.craigslist.org/brk/apa/d/brooklyn-372-grand-avenue-clinton-hill/7940230262.html,"Clinton Hill 1BR – Spacious & Near Pratt Lovely 1-bedroom apartment in a prime Brooklyn location, just steps from Pratt Institute. • Wooden kitchen • Newly painted interior • Rooftop access • Shared b"
38,1264,1,Boerum Hill,0.87,2026-06-11,Bright Boerum Hill 1BR – Charming & Well-Located,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-boerum-hill-1br/7940214230.html,"Boerum Hill 1BR – Charming & Well-Located Discover comfortable Brooklyn living in this cozy 1-bedroom apartment at Bergen St, Boerum Hill, NY 11217. • Hardwood floors throughout • Generous closet spac"
37,1177,1,Cobble Hill,1.20,2026-06-10,Charming 1BR in Cobble Hill – Hardwood Floors & Great Transit Access!,https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-1br-in-cobble-hill/7940194558.html,"Charming Cobble Hill 1BR Available Discover comfortable Brooklyn living at 925 Bergen St, Cobble Hill, NY 11231, USA. This cozy one-bedroom apartment combines classic charm with modern convenience in "
29,1050,1,Bushwick,2.35,2026-06-11,Luxury Living in Bushwick – Bright 1BR w/ Great Amenities,https://newyork.craigslist.org/brk/apa/d/brooklyn-luxury-living-in-bushwick/7940232259.html,"Bright and spacious 1-bedroom loft located on Bushwick Ave. Enjoy modern finishes and access to premium building amenities including a rooftop lounge, garage parking, laundry facilities, bike storage,"
24,1150,1,crown heights,3.08,2026-06-11,Large Room in Beautiful Mansion Light & Gas Included,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-room-in-beautiful/7940204605.html,"In Center of Crown Heights, near (2)(3)(4)(5), (A)(C) & Shuttle Trains Quiet Neighborhood ROOM: Private Entrance, Large Room, Wall to Wall Carpet, Face Basin Sink, Private Refrigerator, Microwave Oven"
17,1030,1,Crown Heights,3.60,2026-06-11,Spacious 1BR Crown Heights – Hardwood Floors & Rooftop Views!,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-1br-crown-heights/7940238347.html,"Welcome to this well-designed 1-bedroom, 1-bathroom apartment located at 1778 Bergen St, Brooklyn NY This bright and comfortable home offers a clean, modern layout with hardwood floors throughout, cen"
16,1100,1,Brooklyn,3.53,2026-06-10,632 SF alcove studio In Windsor Terrace-35 McDonald Ave!,https://newyork.craigslist.org/brk/apa/d/brooklyn-632-sf-alcove-studio-in/7940185835.html,"Modern and spacious 632 SF alcove studio in a boutique condominium in Windsor Terrace. Larger than many 1-bedroom apartments, this home features brand-new bamboo floors, updated kitchen, dishwasher, i"
9,1198,1,Long Island City,4.00,2026-06-11,Sunlit 1BR in LIC Near 7 Train | Stainless Steel Appliances & Space!,https://newyork.craigslist.org/que/apa/d/long-island-city-sunlit-1br-in-lic-near/7940242156.html,Prime Long Island City 1BR – Excellent Location Welcome to this nicely renovated 1-bedroom apartment at 1026 47th Rd #3 in Long Island City. Ideally situated just around the corner from the Vernon–Jac
3,1400,2,Williamsburg,3.97,2026-06-10,Modern Williamsburg Living at 110 S 2nd St 2B,https://newyork.craigslist.org/brk/apa/d/brooklyn-modern-williamsburg-living-at/7940180158.html,"Welcome to 110 S 2nd Street – Modern Williamsburg Living with In-Unit Laundry Experience the best of Williamsburg in this beautifully renovated floor-through residence, offering a flexible 2-bedroom l"
0,,,,,2026-06-11,Bernard Brooklyn Home Brooklyn,https://amberstudent.com/places/bernard-brooklyn-home-brooklyn-2207181201880,
0,,,,,2026-06-11,Cornelius Bushwick Home Brooklyn,https://amberstudent.com/places/cornelius-bushwick-home-brooklyn-2207158468241,
0,,,,,2026-06-11,141 Hart St Brooklyn,https://amberstudent.com/places/141-hart-st-brooklyn-2305121841186?gallery=true&galleryId=267205&tab=all,
0,,,,,2026-06-11,Crown 1162 New York,https://amberstudent.com/places/crown-1162-new-york-2406222677253,
0,,,,,2026-06-11,354 93 Street Brooklyn,https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=DNNub5DBsGTeGacQ3du7AsAjEFNeE4shFtRyxcgrXzpJ5YoRaqfvy78Y2M7o-Z4XwdNOakWqfQO5RTz8,
0,,,,,2026-06-11,1273 Rogers Avenue Brooklyn,https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=NAG-7ybC-ej1nfSJB2R43dfg0fV1Af2X3bBmsVh49XnVGcBrmWCsiUACs2SP2YYaxfERq7d79NNZsaBw,
0,,,,,2026-06-11,Ttb76F5Dhiqojcpp7,https://goo.gl/maps/TTB76f5dHiQojCPP7,
0,,,,,2026-06-11,V6Nk3Bfjz8Vk2Ob56,https://maps.app.goo.gl/V6Nk3BfJz8vk2ob56,
0,1500,1,Brooklyn,4.19,2026-06-11,"1273 Rogers Avenue #2D in Flatbush, Brooklyn",https://streeteasy.com/building/1273-rogers-avenue-brooklyn/2d?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=7y9AK3TginYu4BbxLD_B2NEEj32YA-ktWuTZJb3NHsfJnT_rFqvjo8NzztngzrvEwV0uGcy1twseuTji,"1273 Rogers Avenue, Brooklyn, Ny, 11226: *Welcoming 1BR with Great Flow & Comfortable Everyday Living* This charming 1-bedroom home offers a layout that feels both ..."
0,1395,,Fort Hamilton,5.69,2026-06-11,"354 93rd Street #1 in Fort Hamilton, Brooklyn",https://streeteasy.com/building/354-93-street-brooklyn/1?utm_campaign=rental_listing&utm_medium=share&utm_source=web&lstt=mXMIw2l602eCDgZ8UYod8bVqGCF_D3CLiNjRkuRpdVmS4MjaoMey6kUwR4jT7eKUQ2ijXudmY27AKW1W,"354 93rd Street, Brooklyn, Ny, 11209: This 1 room studio apartment is located in a well-kept, prewar building in Bay Ridge. Enjoy a wide variety of nearby shops and ..."
0,1330,1,Brooklyn,3.05,2026-06-11,"99 Kingsland Ave for $1,330/month on PadMapper",https://www.padmapper.com/rentals/20493753p/1-bedroom-1-bath-apartment-at-99-kingsland-ave-new-york-ny-11222#back=%2Fapartments%2Fbrooklyn-ny%2Funder-1500%3Fbox%3D-74.04241%2C40.56616%2C-73.83336%2C40.73944,"99 Kingsland Ave is a 1 bed, 1 bath apartment in Williamsburg, New York. This apartment is listed for rent at $1,330/month. Search for other sublets, houses and apartment rentals in New York, then use"
