score,price,bedrooms,neighborhood,distance_miles,posted_date,title,url,description
35,3495,1,DUMBO/Downtown,0.19,2026-05-22,🔥DOWNTOWN LUXURY LOFT 1 BED IN FULL AMENITY BUILDING🔥,https://newyork.craigslist.org/brk/apa/d/brooklyn-downtown-luxury-loft-bed-in/7935988909.html,"📍1 Duffield St. - DUMBO 2 Bed | 1 Bath - $3,495 *Available 6/1 *FIRST COME FIRST SERVE 📞| Text/Call Taylin ASAP (954)-815-5422 or (646)-444-3494 A FANTASTIC OPPORTUNITY AT THE MOST IN-DEMAND BUILDING "
22,2695,0,Carroll Gardens,1.11,2026-05-21,🔥🔥STUDIO IN CARROLL GARDENS W/ UTILITIES INCLUDED AT THIS PRICE?? 🤩,https://newyork.craigslist.org/brk/apa/d/brooklyn-studio-in-carroll-gardens/7935779134.html,"🔥🔥GROUND FLOOR COMMERCIAL SPACE IN CARROLL GARDENS W/ UTILITIES INCLUDED AT THIS PRICE?? 🤩💯💯 ATTENTION ALL DEAL HUNTERS!! SHOWINGS START THIS SUNDAY!! Coming June 1, I have a GORGEOUS 500 sq FT space "
19,3200,0,Fort Greene,0.89,2026-05-24,151 Carlton 🔥 Fort Greene studio,https://newyork.craigslist.org/brk/apa/d/brooklyn-151-carlton-fort-greene-studio/7936524361.html,This apartment is located in the very prominent neighborhood of FORT GREENE Steps away from Fort Greene Park! Apartment features: ⚡️French Red Oak Floors ⚡️Seamless Overlay Cabinets ⚡️Chef-style kitch
18,3399,1,Prospect Heights /Clinton hill/Bed stuy/Fort Greene,0.87,2026-05-24,Newly renovated Charming Spacious 1 Bedroom Near Express Trains,https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-charming/7936443193.html,First &; Security! Only! Floor Through Brownstone! King size bedroom with closets Tons of original details & lots of Character Full size bathroom with shower and tub Full kitchen with stainless applia
16,1760,2,Financial District,1.46,2026-05-25,Gorgeous 2 Bedroom Loft with Walk-In Closets,https://newyork.craigslist.org/mnh/apa/d/new-york-gorgeous-bedroom-loft-with/7936618746.html,Beautiful stunning lofts Fidi Prime location | Very Artistic 2 Huge Bedrooms High Ceilings Located on the 5th floor 1 Bath Large Walk in closets Full of natural light Washer & Dryer in unit Dishwasher
15,2700,0,Prospect heights,1.21,2026-05-20,Sunny STUDIO in the heart of Prospect Heights / North Park Slope,https://newyork.craigslist.org/brk/apa/d/brooklyn-sunny-studio-in-the-heart-of/7935579905.html,"Available July 1, 2026 For a QUICKER reply TEXT ME: 347-620-5569 Mention: STUDIO on Prospect Place - Top floor (5th floor walk-up) - Spacious studio in the heart of Prospect Heights - Large open kitch"
13,3499,1,Bushwick/Clinton hill/Bed stuy/Fort Greene,1.00,2026-05-25,Amazing Charming 1BR Brownstone Exclusive backyard Near FTG  Park,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-charming-1br/7936589571.html,Entire floor through Brownstone Amazing Charming 1 Bedroom with exclusive backyard Queens size bedroom with closets Hardwood floors throughout Full kitchen with modern appliances Full bathroom with sh
9,3100,1,BEDSTUY AT THE G FLUSHING TRAIN,1.46,2026-05-20,3 WINDOWS IN THE LIVING ROOM! GREAT SUNLIGHT! GYN-LAUNDRY-BIKE ROOM,https://newyork.craigslist.org/brk/apa/d/brooklyn-windows-in-the-living-room/7935658215.html,"Large 1 bedroom apartment, dope views and massive sunlight! - Brand new luxury elevator building with gym, bike room, car parking, laundry. located on Little Nassau St between Park Ave and Flushing Av"
8,3099,1,,1.49,2026-05-21,"Huge 1 bed in S. Williamsburg, gym, laundry, parking!",https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-bed-in-williamsburg-gym/7935807530.html,"Large 1 bedroom apartment, dope views and massive sunlight! - Brand new luxury elevator building with gym, bike room, car parking, laundry. located on Little Nassau St between Park Ave and Flushing Av"
6,3295,0,Financial District,1.35,2026-05-20,"New Development, Seaport Views",https://newyork.craigslist.org/mnh/apa/d/new-york-new-development-seaport-views/7935615100.html,BRAND NEW DEVELOPMENT!! 1 month free!! Apartment features: -Floor To Ceiling Windows/great natural light!! -Luxury Finishes -Electric Stove -Ample Closet Space -Hardwood Floors -Washer dryer in unit!!
6,3295,0,Financial District,1.35,2026-05-20,"New Development, Laundry in unit",https://newyork.craigslist.org/mnh/apa/d/new-york-new-development-laundry-in-unit/7935614406.html,BRAND NEW DEVELOPMENT!! 1 month free!! Apartment features: -Floor To Ceiling Windows/great natural light!! -Luxury Finishes -Electric Stove -Ample Closet Space -Hardwood Floors -Washer dryer in unit!!
6,3295,0,Financial District,1.35,2026-05-20,"New Development, Laundry in Unit",https://newyork.craigslist.org/mnh/apa/d/new-york-new-development-laundry-in-unit/7935614228.html,BRAND NEW DEVELOPMENT!! 1 month free!! Apartment features: -Floor To Ceiling Windows/great natural light!! -Luxury Finishes -Electric Stove -Ample Closet Space -Hardwood Floors -Washer dryer in unit!!
